experiment_accession	run_accession	description
SRX5103653	SRR8288970	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103652	SRR8288971	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103649	SRR8288974	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103648	SRR8288975	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103644	SRR8288979	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103635	SRR8288988	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_3000 Escherichia coli_1000
SRX5103632	SRR8288991	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_1000 Escherichia coli_3000
SRX5103629	SRR8288994	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_1000 Escherichia coli_1000
SRX5103628	SRR8288995	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_1000 Escherichia coli_1000
SRX5103626	SRR8288997	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103624	SRR8288999	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103619	SRR8289004	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103617	SRR8289006	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103613	SRR8289010	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103612	SRR8289011	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103611	SRR8289012	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103610	SRR8289013	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103609	SRR8289014	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103607	SRR8289016	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103606	SRR8289017	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103603	SRR8289020	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103601	SRR8289022	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103598	SRR8289025	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103597	SRR8289026	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103596	SRR8289027	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103591	SRR8289032	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103584	SRR8289039	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103581	SRR8289042	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103579	SRR8289044	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103574	SRR8289049	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103572	SRR8289051	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103566	SRR8289057	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103562	SRR8289060	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103561	SRR8289061	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103557	SRR8289066	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103554	SRR8289069	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103552	SRR8289071	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103551	SRR8289072	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103547	SRR8289076	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103541	SRR8289082	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103538	SRR8289085	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103535	SRR8289088	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103532	SRR8289091	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103531	SRR8289092	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103528	SRR8289095	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103523	SRR8289100	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103520	SRR8289103	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103519	SRR8289104	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103515	SRR8289108	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103512	SRR8289111	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103511	SRR8289112	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103509	SRR8289114	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103506	SRR8289117	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103505	SRR8289118	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103503	SRR8289120	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103502	SRR8289121	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103500	SRR8289123	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103494	SRR8289128	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103492	SRR8289130	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103491	SRR8289132	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103490	SRR8289133	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103488	SRR8289135	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: nan
SRX5103486	SRR8289137	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103482	SRR8289141	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: SS-10413 1:16
SRX5103475	SRR8289148	NextSeq 500 sequencing: DNA sequencing of human plasma at various dillutions: LA-16502 1:32
SRX5104055	SRR8289150	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5104059	SRR8289151	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5104054	SRR8289153	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5104051	SRR8289156	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5104048	SRR8289158	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5104050	SRR8289160	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5104046	SRR8289161	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5104043	SRR8289164	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5104041	SRR8289166	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104040	SRR8289167	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104038	SRR8289169	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104037	SRR8289170	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104034	SRR8289173	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104033	SRR8289174	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104031	SRR8289176	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of 204.0 IU/ml
SRX5104030	SRR8289177	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5104028	SRR8289179	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104027	SRR8289180	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104026	SRR8289181	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104020	SRR8289187	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104019	SRR8289188	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104016	SRR8289191	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5104005	SRR8289202	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103997	SRR8289211	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103989	SRR8289217	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103988	SRR8289218	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103986	SRR8289221	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103985	SRR8289222	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103984	SRR8289223	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103982	SRR8289225	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103981	SRR8289226	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103980	SRR8289227	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103975	SRR8289232	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103971	SRR8289236	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103966	SRR8289241	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
